,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
0,n15629,113.0,36,"Rudder, Michael (I)",12,Thriller,0,1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,1,1,0,0,0.5238095238095237,3929.012116779463,0.11006640307232449,7.285350554655757e-05,6.297169734089907e-07
1,n5026,47.0,23,"Morgan, Debbi",16,Drama,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0.46245059288537554,21716.283251628487,0.12216700496955274,4.278187542640336e-05,3.1050259650599e-06
2,n11252,48.0,22,"Bellows, Gil",33,Drama,2,0,0,2,1,1,0,6,0,1,1,4,0,0,6,0,0,7,0,0,0.2121212121212121,13283.000043795015,0.11294309490222469,5.1360703452418145e-05,3.572485461570342e-07
3,n5150,57.0,23,"Dray, Albert",20,Comedy,1,0,1,0,1,0,0,6,0,0,0,1,0,0,1,0,0,4,0,0,0.21739130434782608,111250.61929885695,0.11396521103217719,6.646684091949475e-05,7.765480728079507e-08
4,n4057,108.0,46,"Daly, Shane (I)",18,Drama,0,0,1,0,0,1,0,2,0,0,0,4,0,0,1,0,0,7,1,1,0.14782608695652175,39968.78009285296,0.11653480220330496,9.284074250733617e-05,2.3724666969607795e-08
5,n12373,37.0,18,"Macfadyen, Angus",24,Drama,2,1,0,0,1,2,1,0,0,1,1,4,0,0,2,1,0,7,0,0,0.17647058823529413,39833.280180608446,0.11985990935311083,4.9015606779020533e-05,1.1887564188020242e-07
6,n3453,10.0,5,"Djola, Badja",11,Drama,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7,0,0,0.1,6799.253731649886,0.10581324150808422,2.2947186397873755e-05,3.103071326449891e-08
7,n9878,13.0,6,Twiggy,12,Music,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0.5333333333333333,36.45323816976354,0.10752900153401634,1.5552874813497748e-05,9.245564985383086e-08
8,n4988,132.0,57,"Winfrey, Oprah",21,Music,2,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0.32393483709273185,19665.83752897161,0.12580184803448127,7.866000707015906e-05,1.4250500291648597e-05
9,n13032,24.0,11,Champagne (II),11,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0.8545454545454545,158.37603689288113,0.09625279179419306,1.3090053213766694e-05,1.1793977839315062e-07
10,n13060,17.0,7,"Sweet, Jay (I)",11,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.38095238095238093,3656.076122028135,0.09549916286399002,1.604549442254454e-05,3.7254290451598915e-07
11,n3541,218.0,93,"Roach, Martin",36,Drama,1,3,1,3,0,0,1,1,2,1,0,5,0,0,2,0,0,13,0,1,0.1093969144460028,105075.80705317321,0.11667970238453362,0.00018756142875093023,2.630319660076496e-08
12,n9373,97.0,47,"Welch, Raquel",24,Comedy,0,0,0,0,7,0,1,4,0,2,0,0,0,0,0,0,0,4,0,1,0.22294172062904719,85591.30818974765,0.1288622117876365,6.959276292560973e-05,9.417207752414792e-06
13,n4120,79.0,25,"Yue, Shawn",15,Drama,0,3,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,4,0,0,0.5533333333333333,5940.363735286539,0.09356204770838918,5.81452821697374e-05,2.4954179973503275e-08
14,n14308,45.0,19,"Landström, Örjan",12,Thriller,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0.2923976608187135,1971.4055808155754,0.08558987083549915,5.5828404739773585e-05,3.1866193638385326e-12
15,n13517,36.0,18,"Scarborough, Adrian",13,Drama,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,7,0,0,0.1895424836601307,19692.39298582905,0.11513572347372934,4.7579665287531e-05,8.3584180170505e-08
16,n12059,48.0,18,"Valcárcel, Javier",10,Romance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0.4836601307189542,27931.368946383427,0.08337433423296473,5.1974015304484135e-05,1.6932785507555205e-11
17,n3932,22.0,6,"Weinberg, Max (I)",10,Music,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0.4,11.468150792066696,0.11139334218319208,2.2238872641682743e-05,3.736516133209089e-07
18,n577,40.0,19,"Hingle, Pat",16,Comedy,0,0,1,0,3,0,0,3,0,0,1,1,0,0,0,2,1,3,0,0,0.1286549707602339,8899.991897129457,0.11606056374553651,4.90316875582046e-05,1.0250882998847571e-07
19,n1362,405.0,107,"Yamazaki, Takumi",20,Sci-Fi,2,0,0,0,0,3,5,2,3,0,2,1,0,0,0,0,0,0,0,0,0.4976194674660554,32755.266146659156,0.10938557569376552,8.396028146600589e-05,1.4114733206650377e-06
20,n9764,2.0,1,"Sokoloff, Marla",11,Comedy,1,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,2,0,0,,0.0,0.08597563678815434,1.5431942949401028e-05,3.5247075051745736e-11
21,n6511,15.0,7,"Sims, Molly",12,Music,0,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0.3333333333333333,2885.7004013098635,0.1094809471538341,2.2574745006073093e-05,3.879091275921012e-07
22,n10932,18.0,8,"Benson, Amber",15,Drama,0,1,0,0,1,1,0,2,0,0,0,1,0,0,3,0,0,4,0,2,0.07142857142857142,4515.15711707138,0.10674707047973188,3.044152320127527e-05,7.133072275203872e-08
23,n13040,19.0,7,"Warhol, Andy",13,Music,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5714285714285714,373.97393664190787,0.11341720167390118,2.1993181686751677e-05,1.498932302492095e-06
24,n2416,708.0,123,"Rogers, Debra Jean",30,Sci-Fi,0,3,1,0,0,1,15,0,5,0,2,0,0,0,1,0,0,1,0,0,0.6012261761961881,14230.189959845105,0.109119553868949,0.0001363260466462654,3.553471978853653e-07
25,n9554,234.0,78,"Diego, Gabino",20,Comedy,1,0,0,0,0,0,0,6,0,5,0,1,0,0,4,0,1,1,0,1,0.4315684315684316,43182.39529491816,0.11319359775869672,0.00014617445870635968,1.2378488321971407e-07
