from;to;weight
n17776;n17778;6
n5578;n9770;3
n5578;n929;2
n5578;n9982;2
n1835;n6278;2
n1835;n1664;7
n1835;n1791;2
n1835;n6435;2
n1835;n10037;4
n1835;n10697;3
n1835;n11486;2
n1835;n1931;3
n1835;n1682;2
n1835;n1715;4
n1835;n1644;2
n1835;n1628;3
n1835;n1950;2
n1835;n1643;3
n1835;n6235;2
n1835;n131;2
n1835;n1741;3
n1835;n6213;2
n1835;n141;3
n1835;n1920;2
n1835;n127;8
n1835;n1742;3
n1835;n1596;2
n1835;n1976;2
n1835;n1816;2
n1835;n1744;2
n1835;n1719;2
n1835;n11787;3
n1835;n3666;2
n1835;n1699;3
n1835;n6233;2
n1835;n1762;3
n1835;n1614;2
n1835;n1637;2
n1835;n1578;3
n1835;n1572;3
n1835;n1661;4
n1835;n1591;2
n1835;n1702;2
n1835;n1556;3
n1835;n1851;2
n1835;n1831;3
n1835;n11481;2
n1835;n162;5
n1835;n1785;2
n1835;n1995;8
n14790;n328;2
n8606;n11088;2
n8606;n4077;2
n8606;n3689;2
n8606;n614;4
n8606;n4043;2
n8606;n5548;3
n8606;n14108;2
n8606;n1534;3
n12376;n7786;2
n12376;n3031;2
n13981;n4006;2
n13981;n538;3
n13981;n4073;2
n13981;n1262;2
n13981;n8827;2
n13981;n8036;3
n13981;n3587;2
n17378;n17480;2
n17378;n16106;2
n14371;n7156;2
n14371;n15570;2
n14371;n13009;2
n14371;n7195;2
n14371;n15772;3
n14371;n2819;3
n14371;n7212;2
n14371;n14874;2
n14371;n7776;2
n14371;n441;2
n14371;n7213;2
n14371;n13619;2
n9504;n1131;2
n9504;n14667;2
n9504;n14651;2
n9504;n9150;2
n9504;n8074;2
n5072;n5058;2
n5072;n5062;2
n5072;n5051;2
n5072;n5050;4
n5072;n1129;2
n5072;n5047;3
n5072;n5077;2
n5072;n5060;2
n5072;n5056;3
n5072;n5052;2
n5072;n5066;2
n5072;n15171;2
n5072;n5049;2
n5072;n5044;2
n1523;n11767;2
n1523;n4517;4
n1523;n11772;2
n1523;n10192;2
n1523;n10231;2
n1523;n12800;3
n1523;n8026;3
n1523;n4522;3
n1523;n10205;2
n1523;n9606;2
n3382;n3360;2
n3382;n490;2
n3382;n3311;2
n2300;n1987;2
n2300;n2316;4
n2300;n184;3
n2300;n12970;2
n2300;n13006;2
n2300;n166;4
n2300;n1728;2
n2300;n1950;2
n2300;n12458;6
n2300;n3067;5
n2300;n6318;3
n2300;n164;2
n2300;n6249;2
n2300;n2304;2
n2300;n1898;2
n2300;n1626;3
n2300;n1637;2
n2300;n7547;2
n2300;n2297;4
n2300;n1676;3
n2300;n3679;3
n2300;n2320;2
n2300;n1565;3
n2300;n2313;5
n2300;n199;4
n2300;n163;3
n2300;n173;2
n2300;n2331;17
n2300;n2273;2
n2300;n2323;2
n2300;n162;3
n402;n15067;3
n402;n1153;2
n402;n2607;2
n3423;n10579;3
n3423;n17779;3
n3423;n11307;2
n3423;n5678;2
n3423;n4317;2
n3423;n3884;2
n3423;n701;2
n3423;n6963;3
n3423;n12633;2
n3423;n8699;2
n3423;n3533;2
n3423;n5745;2
n3423;n4279;3
n3423;n6691;2
n3423;n13403;3
n3423;n10644;2
n3423;n3310;2
n3423;n2018;2
n3423;n396;2
n11385;n7081;2
n11385;n11383;2
n11385;n2719;2
n11385;n11384;2
n11385;n2132;2
n11385;n11040;2
n11385;n11238;2
n11385;n11306;2
n11385;n5643;2
n6198;n1688;5
n6198;n1950;2
n2235;n9677;2
n2235;n5144;2
n2235;n8953;2
n2235;n9521;3
n2235;n4561;2
n2235;n12883;2
n2235;n9657;2
n2235;n285;8
n2235;n9658;2
n2235;n9663;6
n2235;n974;2
n2235;n5147;2
n2235;n5096;2
n2235;n9536;2
n2235;n2227;2
n2235;n9671;2
n2235;n1261;3
n2235;n10346;2
n2235;n9665;2
n2235;n2238;2
n2235;n9661;2
n2235;n9662;2
n2235;n5111;2
n2235;n12888;2
n2235;n12132;2
n2235;n13669;2
n2235;n52;2
n2235;n9691;2
n2235;n990;2
n2235;n13462;2
n2235;n5119;2
n11494;n1662;2
n11494;n10033;4
n11494;n1835;2
n11494;n6247;2
n11494;n11486;3
n11494;n1680;2
n11494;n1639;2
n11494;n1711;2
n11494;n11481;2
n11494;n3665;2
n11494;n1995;2
n11494;n1718;3
n11494;n208;2
n11494;n11492;2
n3409;n3405;2
n3409;n2076;2
n3409;n3223;2
n3409;n8625;2
n8675;n11076;2
n8181;n1324;2
n8181;n1325;2
n8181;n1291;4
n8181;n1343;2
n8181;n1385;2
n8181;n8159;3
n8181;n1342;2
n8181;n2447;2
n8181;n8267;3
n8181;n2391;2
n8181;n2388;2
n8181;n1393;2
n8181;n8225;2
n8181;n8190;2
n8181;n2408;6
n8181;n8157;4
n8181;n6184;2
n8181;n6703;4
n8181;n9633;2
n8181;n2446;10
n8181;n1421;2
n8181;n8213;2
n14890;n12516;3
n14890;n7538;3
n14890;n11782;2
n14890;n1869;2
n4243;n6953;2
n4243;n3519;2
n4243;n1231;2
n4243;n3191;2
n4243;n8768;2
n4243;n5729;2
n4243;n12236;2
n4243;n10652;3
n4243;n3262;2
n4243;n7765;2
n4243;n3351;2
n4243;n7486;2
n4243;n3615;2
n4243;n5758;2
n4243;n3643;2
n4243;n9425;3
n4243;n5686;2
n4243;n751;2
n4243;n547;2
n8193;n2386;2
n8193;n8223;2
n8193;n8199;2
n8193;n1330;2
n8193;n6054;2
n15647;n6474;2
n15647;n15645;6
n15647;n14791;3
n15647;n15646;5
n15647;n11123;2
n15647;n10951;3
n15647;n6472;2
n15647;n7964;3
n15647;n15649;7
n15647;n8324;6
n15647;n14814;4
n15647;n15652;2
n15647;n15648;2
n15647;n10367;3
n15647;n3319;10
n15647;n11417;9
n15647;n9517;2
n15647;n15656;5
n15647;n9000;2
n15647;n4018;2
n930;n7088;4
n930;n862;2
n930;n896;5
n930;n7912;4
n930;n7901;2
n930;n9718;2
n930;n7838;3
n930;n7849;3
n930;n11254;2
n930;n834;2
n930;n7095;5
n930;n9759;2
n930;n920;2
n930;n805;2
n930;n7083;3
n930;n7959;3
n930;n929;2
n930;n866;2
n930;n9982;2
n930;n8545;2
n930;n10405;2
n930;n886;2
n930;n8165;2
n930;n9709;2
n930;n9981;3
n930;n8543;2
n16323;n12035;2
n16323;n4338;2
n16323;n570;2
n16323;n3292;2
n8351;n1215;4
n8351;n8457;2
n8351;n1212;2
n8351;n4992;2
n13502;n5833;3
n13502;n13425;2
n29;n15300;2
n29;n16701;2
n29;n35;2
n29;n11;2
n29;n16571;2
n29;n27;2
n29;n14;2
n29;n15298;3
n29;n15294;2
n29;n9;2
n29;n25;2
n29;n17;2
n29;n16693;3
n10707;n1920;2
n10707;n162;2
n10707;n1716;2
n10707;n1688;3
n10707;n10697;2
n15871;n12891;2
n15871;n1023;2
n15871;n1017;2
n14343;n8040;2
n14343;n10743;2
n1732;n6410;3
n1732;n150;2
n1732;n1722;2
n1732;n153;5
n1732;n11480;3
n1732;n1711;2
n1732;n1591;2
n1732;n1741;2
n1732;n131;3
n1732;n2289;3
n1732;n163;3
n1732;n1725;2
n1732;n1572;4
n1732;n1730;2
n1732;n1718;2
n1732;n1995;2
n1732;n1849;2
n1732;n14694;2
n1732;n6253;2
n1732;n162;3
n1732;n127;5
n1732;n141;2
n1732;n157;2
n1732;n10033;2
n1732;n1731;2
n1732;n1699;2
n1732;n124;2
n1732;n12819;2
n1732;n1975;3
n1732;n6278;2
n1732;n186;2
n1732;n6235;2
n1732;n10029;2
n1732;n63;2
n1732;n1876;2
n1732;n1706;2
n1732;n6247;2
n1732;n1982;2
n9185;n1017;2
n9185;n9116;2
n9185;n12898;2
n9185;n9190;2
n590;n570;2
n590;n577;2
n10421;n10109;2
n10421;n6353;2
n10421;n10424;3
n10421;n10420;2
n10421;n10426;3
n8701;n5599;2
n8701;n467;2
n8701;n2614;2
n8701;n2623;2
n8701;n14482;3
n8701;n396;2
n8701;n8697;2
n8701;n11379;2
n8701;n6688;2
n8701;n5000;2
n8701;n1260;2
n8701;n11588;2
n8701;n3555;2
n8701;n3574;2
n8701;n8491;3
n8701;n8724;2
n8701;n2613;2
n8701;n643;2
n8701;n8107;2
n8701;n9049;2
n8701;n7678;2
n8701;n9709;2
n8701;n3533;3
n8701;n553;2
n8701;n11238;2
n8701;n701;3
n8701;n4393;2
n8701;n3254;2
n8701;n3886;2
n8701;n3989;2
n8701;n3884;2
n3174;n9328;2
n3174;n9241;2
n3174;n2728;2
n3174;n9074;2
n3174;n3292;2
n3174;n11792;2
n3174;n3361;2
n3174;n2993;2
n3174;n2897;2
n3174;n3185;3
n16339;n6092;2
n16339;n4869;8
n16339;n9141;6
n16339;n9142;8
n16339;n6388;2
n16339;n13441;3
n12287;n11166;2
n12287;n5940;2
n12287;n6010;2
n12287;n5822;2
n12287;n5920;2
n12287;n15892;2
n12287;n14473;2
n15556;n17104;2
n10189;n9923;3
n10189;n10192;2
n10189;n9948;2
n10189;n10180;2
n10189;n10191;2
n6826;n14605;2
n6826;n301;2
n6826;n2260;4
n6826;n15867;4
n6826;n13677;2
n6826;n13670;3
n6826;n8959;2
n6826;n11426;3
n6826;n1002;2
n6826;n2201;3
n6826;n1476;2
n6826;n5136;2
n6826;n6825;2
n6826;n237;2
n6826;n2146;2
n6826;n2226;2
n6826;n4472;2
n6826;n2211;3
n6826;n273;2
n6826;n2155;2
n6826;n2199;2
n6826;n15475;2
n6826;n8954;2
n6826;n13679;2
n6826;n2152;2
n6826;n14672;3
n6826;n13673;3
n6826;n10334;2
n6826;n9129;2
n6826;n13676;2
n17291;n16489;6
n17291;n17721;4
n17291;n5340;2
n17291;n3003;2
n17291;n7605;3
n7511;n7496;2
n7511;n9276;2
n13242;n13199;4
n13242;n10290;2
n13242;n13240;4
n13242;n13229;4
n13242;n13174;8
n13242;n13224;7
n13242;n13727;3
n13242;n13198;3
n13242;n14956;2
n13242;n12117;5
n13242;n14981;2
n13242;n13244;3
n13242;n14977;8
n13242;n10281;10
n13242;n13179;5
n13242;n10291;2
n13242;n13175;2
n13242;n13185;14
n13242;n14962;8
n13242;n13741;3
n13242;n13171;3
n13242;n13186;7
n13242;n14960;5
n13242;n13181;11
n13242;n13725;4
n13242;n13169;5
n13242;n16154;2
n13242;n13243;9
n13242;n14958;2
n13242;n13239;2
n13242;n13227;4
n13242;n16166;4
n13242;n13170;5
n13242;n13204;3
n13242;n14970;4
n13242;n13222;8
n13242;n14969;3
n13242;n13196;17
n13242;n13766;3
n13242;n14947;4
n13242;n14959;4
n13242;n13220;2
n13242;n13193;4
n13242;n13203;9
n13242;n13223;5
n13242;n16152;4
n13242;n13230;3
n13242;n13207;2
n13242;n14957;2
n13242;n13180;3
n13242;n13226;2
n13242;n13238;7
n13242;n16157;2
n13242;n16165;3
n13242;n13234;3
n13242;n14967;7
n13242;n13172;7
n13242;n13166;4
n13242;n13761;2
n13242;n14964;2
n13242;n13167;6
n13242;n13190;3
n13242;n13209;4
n13242;n13178;8
n13242;n13769;2
n13242;n14983;3
n13242;n16171;3
n13242;n13182;2
n13242;n13176;2
n13242;n13722;13
n13242;n13200;7
n13242;n13246;2
n13242;n13729;6
n13242;n14978;4
n13242;n14971;2
n13242;n13214;3
n13242;n13232;5
n13242;n13211;8
n13242;n13726;3
n13242;n13195;13
n13242;n14976;2
n13242;n13744;3
n13242;n14951;5
n13242;n13187;2
n13242;n13212;3
n13242;n13225;3
n13242;n13237;3
n13242;n13742;3
n13242;n13201;4
n13242;n13206;2
n13242;n16163;2
n13242;n13183;2
n13242;n13724;3
n13242;n13216;2
n13242;n13235;4
n13242;n13770;9
n13242;n13231;7
n13242;n13218;2
n13242;n13197;7
n13242;n13241;7
n13242;n13248;2
n13242;n14953;3
n13242;n13184;6
n13242;n13723;2
n13242;n13208;7
n13242;n5488;2
n13242;n13217;2
n13242;n13221;2
n3633;n3630;2
n3633;n3632;2
n3633;n16064;2
n11175;n4637;2
n11175;n13428;2
n11175;n11837;3
n11175;n11853;2
n1408;n6736;6
n1408;n6683;10
n1408;n2449;4
n1408;n2372;2
n1408;n8136;7
n1408;n6681;12
n1408;n8150;6
n1408;n1405;2
n1408;n2396;5
n1408;n8797;2
n1408;n1393;40
n1408;n8524;5
n1408;n6679;23
n1408;n2418;2
n1408;n2422;2
n1408;n8283;4
n1408;n8130;5
n1408;n6701;9
n1408;n2388;2
n1408;n2448;13
n1408;n6699;13
n1408;n6700;21
n1408;n8149;2
n1408;n8528;6
n1408;n2431;21
n1408;n1411;7
